Filename,New Title,Summary,Tags,Level,Target Population,Trigger Keywords,Primary Therapeutic Technique,Word Count,Estimated Duration (min)
Script_1.docx,Releasing Guilt – Honoring Love and Letting Go,"A guided session focused on releasing guilt associated with loss, using visualization and self-compassion to restore inner peace and self-forgiveness.",#grief_hypnosis #guilt_release #sibling_loss #symbolic_forgiveness #healing_visualization #mourning_integration #self-compassion #survivor’s_guilt #letting_go #post-loss_restoration #inner_peace #memory_healing #emotional_permission,Mild,Adult,"guilt release, mourning, self-compassion, forgiveness, sibling loss",Suggestive and Visualization Hypnosis,847,7.37
Script_2.docx,Reclaiming Inner Stability – Anchoring in Calm,"A session designed to help individuals anchor themselves in calmness amidst emotional storms, using grounding techniques and self-soothing practices to restore stability.",#inner_stability #grounding_techniques #emotional_regulation #self-soothing #emotional_resilience #calm_anchor #nervous_system_reset #anxiety_reduction #self-trust,Mild,Adult,"inner stability, grounding, emotional regulation, self-soothing, calm anchor",Meditative Hypnosis,813,7.07
Script_3.docx,Emotional Reset – Releasing the Weight of the Day,"A session designed to guide individuals through a process of releasing emotional weight using breathwork and grounding visualization, creating space for clarity and calm.",#emotional_reset #stress_release #calmness #grounding #breathwork #emotional_regulation #inner_peace #nervous_system_reset #self-soothing #mental_clarity,Mild,Adult,"emotional reset, stress release, calmness, grounding, breathwork",Meditative Hypnosis,987,8.58
Script_4.docx,My Body Knows Calm – Reconnecting to Inner Peace,A session designed to guide individuals to reconnect with their body's natural state of calm through breathwork and gentle body awareness.,#body_awareness #calmness #breathwork #self-soothing #inner_peace #nervous_system_regulation #emotional_grounding #body-mind_connection #anxiety_release,Mild,Adult,"body awareness, calmness, self-soothing, breathwork, inner peace",Meditative Hypnosis,1284,11.17
Script_5.docx,Rebuilding Trust – Finding Safety Within,"A session designed to guide individuals in reconnecting with their sense of inner safety, using visualization and grounding to rebuild self-trust.",#trust_rebuilding #inner_safety #self-soothing #emotional_regulation #grounding #inner_child_healing #emotional_release #self-trust #nervous_system_reset #emotional_resilience,Mild,Adult,"trust rebuilding, inner safety, self-soothing, grounding, emotional release",Somatic Hypnosis,612,5.32
Script_6.docx,Reestablishing Serenity – Finding Calm in the Present Moment,"A session designed to guide individuals in reconnecting with a state of calm through grounding techniques, breathwork, and emotional regulation.",#serenity #calmness #breathwork #grounding_techniques #emotional_regulation #nervous_system_reset #mind-body_connection #stress_release #inner_peace #anxiety_reduction,Moderate,Adult,"serenity, calmness, grounding techniques, breathwork, inner peace",Meditative Hypnosis,1557,13.54
Script_7.docx,Reclaiming My Value – Standing in My Own Light,"A session designed to help individuals reconnect with their inherent worth, releasing external validation and reclaiming inner strength through self-affirmation and visualization.",#self-worth #emotional_healing #self-acceptance #empowerment #self-compassion #inner_strength #identity_rebuilding #emotional_release #confidence #self-validation,Moderate,Adult,"self-worth, self-acceptance, empowerment, emotional healing, self-compassion",Suggestive and Visualization Hypnosis,831,7.23
Script_8.docx,Building a Resilient Relationship – Reconnecting Through Compassion,"A session designed to help couples reconnect through compassionate communication and emotional healing, fostering trust and mutual understanding.",#relationship_healing #emotional_connection #communication #trust_rebuilding #couple_hypnosis #emotional_resilience #conflict_resolution #empathy #relational_safety #emotional_intimacy,Moderate,Couple,"relationship healing, emotional connection, communication, trust rebuilding, compassion",Classical Hypnosis,1301,11.31
Script_9.docx,Building an Inner Safe Space – Creating a Personal Sanctuary,"A session designed to help individuals create a personal sanctuary for emotional grounding and self-soothing, using visualization and self-compassion.",#inner_safety #emotional_grounding #self-soothing #calm_space #safe_haven #anxiety_relief #nervous_system_reset #emotional_regulation #self-compassion #inner_child_comfort,Mild,Adult,"inner safety, emotional grounding, self-soothing, calm space, self-compassion",Suggestive and Visualization Hypnosis,980,8.52
Script_10.docx,Reclaiming Self-Worth – Standing in My Own Light,"A session designed to help individuals reconnect with their inherent self-worth, releasing external validation and embracing their own light through visualization and self-affirmation.",#self-worth #self-acceptance #inner_strength #confidence #self-validation #emotional_release #empowerment #self-love #healing #identity_rebuilding,Moderate,Adult,"self-worth, self-acceptance, empowerment, emotional healing, self-compassion",Suggestive and Visualization Hypnosis,1116,9.7
Script_11.docx,Letting Go Without Betrayal – Healing the Inner Child,"A session guiding individuals through the process of releasing emotional burdens without feeling like they are betraying themselves, focusing on inner child healing and emotional detachment.",#inner_child_healing #emotional_detachment #self-forgiveness #symbolic_bridge #relational_trauma #letting_go #breath_anchoring #reparenting #healing_abandonment #future_self #embodied_safety #emotional_overactivation,Intense,Adult,"inner child healing, emotional detachment, self-forgiveness, letting go, relational trauma",Regressive Hypnosis,1337,11.63
Script_12.docx,Letting Go Without Betrayal – Healing the Inner Child,"A session guiding individuals through the process of releasing emotional burdens without feeling like they are betraying themselves, focusing on inner child healing and emotional detachment.",#inner_child_healing #emotional_detachment #self-forgiveness #symbolic_bridge #relational_trauma #letting_go #breath_anchoring #reparenting #healing_abandonment #future_self #embodied_safety #emotional_overactivation,Intense,Adult,"inner child healing, emotional detachment, self-forgiveness, letting go, relational trauma",Regressive Hypnosis,1337,11.63
Script_13.docx,Releasing Guilt – Honoring Love and Letting Go,"A session designed to help individuals release guilt associated with loss, focusing on self-forgiveness, mourning integration, and emotional healing.",#guilt_release #sibling_loss #symbolic_forgiveness #healing_visualization #mourning_integration #self-compassion #survivor’s_guilt #letting_go #post-loss_restoration #inner_peace #memory_healing #emotional_permission,Moderate,Adult,"guilt release, mourning, self-compassion, forgiveness, sibling loss",Suggestive and Visualization Hypnosis,884,7.69
Script_14.docx,Building an Inner Safe Space – Finding Sanctuary Within,"A session designed to guide individuals in creating a safe space within, utilizing grounding techniques, breath anchoring, and self-soothing practices to cultivate calm and emotional security.",#inner_safety #self-soothing #calm_space #emotional_security #grounding_techniques #breath_anchoring #safe_space_visualization #anxiety_release #nervous_system_regulation,Mild,Adult,"inner safety, self-soothing, calm space, grounding, breath anchoring",Meditative Hypnosis,977,8.5
Script_15.docx,Releasing Guilt – Honoring Love and Letting Go,"A session designed to help individuals release guilt associated with loss, focusing on self-forgiveness, mourning integration, and emotional healing.",#guilt_release #sibling_loss #symbolic_forgiveness #healing_visualization #mourning_integration #self-compassion #survivor’s_guilt #letting_go #post-loss_restoration #inner_peace #memory_healing #emotional_permission,Moderate,Adult,"guilt release, mourning, self-compassion, forgiveness, sibling loss",Suggestive and Visualization Hypnosis,884,7.69
Script_16.docx,Reclaiming Self-Worth – A Journey Back to Myself,"A session designed to guide individuals in reconnecting with their self-worth, releasing external validation and embracing inner strength through self-affirmation and visualization.",#self-worth #inner healing #self-acceptance #emotional release #self-reclamation,Intense,Adult,"self-worth, self-acceptance, emotional healing, self-reclamation, self-affirmation",Suggestive and Visualization Hypnosis,1128,9.81
Script_17.docx,Walking with the Light,"A session designed to guide individuals through a journey of inner calm, using visualizations to connect with past and present selves, fostering emotional healing and self-empowerment.",#InnerCalm #EmotionalHealing #SelfConnection #GuidedImagery #Empowerment,Moderate,Adult,"inner calm, emotional healing, self-connection, guided imagery, empowerment",Suggestive and Visualization Hypnosis,894,7.77
Script_18.docx,Relearning Trust – Anchoring Safety Within,"A session designed to help individuals rebuild trust in themselves and their environment, using somatic grounding, symbolic release, and emotional reassurance.",#trust repair #inner safety #emotional healing #calmness #parental anxiety,Intense,Adult,"trust repair, inner safety, emotional healing, parental anxiety, self-soothing",Somatic Hypnosis,965,8.39
Script_19.docx,My Body Knows Calm – Reconnecting to Inner Peace,"A session designed to help individuals reconnect with their body's natural state of calm through breathwork, body awareness, and gentle self-soothing techniques.",#body awareness #calmness #breathwork #self-soothing #inner peace,Moderate,Adult,"body awareness, calmness, breathwork, self-soothing, inner peace",Somatic Hypnosis,1446,12.57
Script_20.docx,Reclaiming Self-Worth – I Am Enough,"A session designed to help individuals reconnect with their self-worth, releasing external validation and embracing inner strength through self-affirmation and visualization.",#self-worth #emotional release #self-compassion #self-acceptance #healing,Intense,Adult,"self-worth, emotional release, self-compassion, self-acceptance, healing",Suggestive and Visualization Hypnosis,1266,11.01
Script_21.docx,Building My Inner Safe Space – Finding Calm and Confidence,"A session designed to help individuals create a secure inner sanctuary, using visualization and self-soothing to release guilt, fear, and pressure while anchoring in self-worth.",#inner safety #emotional grounding #guided hypnosis #self-soothing #self-worth #calmness #symbolic discharge #performance anxiety #affirmation,Moderate,Adult,"inner safety, self-soothing, calm space, grounding, breath anchoring, emotional release",Suggestive and Visualization Hypnosis,1146,9.97
Script_22.docx,Reclaiming Inner Stability – Anchored in Calm,"A session designed to guide individuals in reclaiming inner stability amidst emotional storms, using grounding techniques, breath anchoring, and symbolic detachment.",#inner stability #emotional grounding #guided hypnosis #self-soothing #self-worth #calmness #symbolic discharge #performance anxiety #affirmation,Moderate,Adult,"inner stability, self-soothing, calm space, grounding, breath anchoring, emotional release",Suggestive and Visualization Hypnosis,962,8.37
Script_23.docx,Emotional Reset – Learning to Feel Without Drowning,"A session designed to help individuals reconnect with their emotional fluidity without feeling overwhelmed, using symbolic visualization, grounding techniques, and emotional acceptance.",#emotional_reset #calmness #grounding #stress_release #inner_calm #emotional_regulation #hypersensitivity #inner_child_healing #symbolic_stream #emotional_overwhelm,Moderate,Adult,"emotional reset, calmness, grounding, stress release, inner calm",Suggestive and Visualization Hypnosis,1149,9.99
Script_24.docx,Reclaiming My Value Beyond the Other,"A session designed to guide individuals in reclaiming personal value beyond external relationships, focusing on self-worth, emotional detachment, and inner child healing.",#emotional_dependency #self-worth #relational_imbalance #self-reclamation #inner_child #symbolic_detachment #self-validation #attachment_healing #mirror_metaphor #future_self #therapeutic_hypnosis #conditional_worth,Moderate,Adult,"emotional dependency, self-worth, relational imbalance, self-reclamation, inner child",Suggestive and Visualization Hypnosis,969,8.43
Script_25.docx,Building a Resilient and Connected Relationship,"A session designed to reinforce the emotional bond within a couple, using co-visualization, symbolic gestures, and co-regulation techniques to rebuild trust and connection.",#couple_connection #emotional_intimacy #communication #relational_healing #conflict_recovery #co-regulation #partnership_repair #emotional_resilience #safe_space #future_self,Moderate,Couple,"couple connection, emotional intimacy, relational healing, conflict recovery, co-regulation",Suggestive and Visualization Hypnosis,1456,12.66
Script_26.docx,Releasing Guilt – Honoring Love and Letting Go,"A session designed to guide individuals in releasing guilt associated with the loss of a loved one, using visualization, symbolic gestures, and affirmations to promote self-compassion and internal peace.",#grief #guilt_release #forgiveness #self_compassion #letting_go,Intense,Adult,"grief, guilt release, forgiveness, self-compassion, letting go",Suggestive and Visualization Hypnosis,1021,8.88
Script_27.docx,Letting Go Without Betrayal – Healing the Inner Child,"A session designed to support emotional detachment from overwhelming or unreciprocated attachment, while reinforcing emotional self-regulation and internal safety.",#inner_child #emotional_detachment #reparenting #self_forgiveness #healing_abandonment,Intense,Adult,"inner child, emotional detachment, reparenting, self-forgiveness, healing abandonment",Suggestive and Visualization Hypnosis,1493,12.98
Script_28.docx,Rebuilding Trust in My Inner Signals,"A session designed to help individuals reconnect with their inner signals, restoring somatic trust and differentiating intuitive guidance from fear-based responses.",#inner_signals #somatic_trust #emotional_clarity #grounding #self_soothing,Moderate,Adult,"inner signals, somatic trust, emotional clarity, grounding, self-soothing",Somatic Hypnosis,763,6.63
Script_29.docx,Rebuilding From Within,"A session designed to guide individuals in releasing old familial patterns and reclaiming inner stability, using grounding techniques, self-affirmation, and emotional visualization.",#selfreconstruction #innerstrength #emotionalhealing #grounding #resilience,Intense,Adult,"self reconstruction, inner strength, emotional healing, grounding, resilience",Suggestive and Visualization Hypnosis,775,6.74
Script_30.docx,Letting Go of What Drains Me,"A session designed to guide individuals in releasing emotional burdens and reconnecting to inner calm, using visualization, grounding techniques, and symbolic letting go.",#lettinggo #emotionalrelease #selfrenewal #innerstrength #calmness,Intense,Adult,"letting go, emotional release, self-renewal, inner strength, calmness",Suggestive and Visualization Hypnosis,896,7.79
Script_31.docx,Empowering the Child Within,"A session designed to guide individuals in reconnecting with their inner child, fostering self-acceptance, playfulness, and emotional healing.",#confidence #innerchild #selfacceptance #playfulness #emotionalhealing,Moderate,Adult,"confidence, inner child, self-acceptance, playfulness, emotional healing",Suggestive and Visualization Hypnosis,918,7.98
Script_32.docx,Rebuilding Safety from Within,"A session designed to help individuals restore a sense of inner safety after a traumatic event, using visualization, grounding techniques, and self-reassurance.",#safety #emotionalreconstruction #innerstrength #grounding #selftrust,Intense,Adult,"safety, emotional reconstruction, inner strength, grounding, self-trust",Suggestive and Visualization Hypnosis,1078,9.37
Script_33.docx,"When the World Cuts Me, I Stay Whole","A session designed to reinforce self-worth and resilience amidst bullying or external criticism, using grounding techniques, protective visualization, and self-soothing affirmations.",#self-worth #resilience #emotionalstrength #bullying #innercalm,Intense,Child/Teen,"self-worth, resilience, emotional strength, bullying, inner calm",Suggestive and Visualization Hypnosis,1061,9.23
Script_34.docx,Reclaiming My Worth Beyond Being Chosen,"A session designed to guide individuals in reclaiming self-worth beyond the need for external validation, using visualization, self-soothing techniques, and self-forgiveness.",#self-worth #emotionalrelease #identity #lettinggo #self-forgiveness,Intense,Adult,"self-worth, emotional release, identity, letting go, self-forgiveness",Suggestive and Visualization Hypnosis,1034,8.99
Script_35.docx,Restoring Sleep and Inner Calm,"A session designed to release ruminations and restore a deep sense of calm, using soothing visualizations, gentle body relaxation, and self-compassion techniques.",#sleep #rumination #calm #self-soothing #emotionalrelease,Moderate,Adult,"sleep, rumination, calm, self-soothing, emotional release",Suggestive and Visualization Hypnosis,1569,13.64
Script_36.docx,"Reclaiming My Inner Compass – Feeling Enough, At Last","A session designed to guide individuals in reconnecting with their inner compass, releasing self-imposed roles, and embracing self-worth beyond external validation.",#SelfWorth #EmotionalExhaustion #InvisibilityWound #SelfRepair #BodyImageRestoration,Intense,Adult,"self-worth, emotional exhaustion, invisibility wound, self-repair, body image restoration",Suggestive and Visualization Hypnosis,791,6.88
Script_37.docx,Let the Body Digest What the Mind Holds On To,"A session designed to help individuals release emotional tension held within the body, using gentle visualization, body awareness, and mindful breathing to foster inner calm.",#DigestEmotions #BodyAwareness #EmotionalRelease #InnerCalm #MindBodyConnection,Intense,Adult,"digest emotions, body awareness, emotional release, inner calm, mind-body connection",Somatic Hypnosis,1064,9.25
Script_38.docx,"Return to the Night – When You’ve Carried Too Much, For Too Long","A session designed to help individuals release emotional and mental burdens before sleep, using calming visualizations and a safe space for rest.",#Restoration #LettingGo #NightTime #EmotionalRelease #Calmness,Intense,Adult,"restoration, letting go, night time, emotional release, calmness",Suggestive and Visualization Hypnosis,663,5.77
Script_39.docx,Reconnecting with the Body – A Path to Inner Calm,"A session designed to help individuals reconnect with their body, listen to its messages, and cultivate inner calm through gentle visualization and mindful breathing.",#BodyAwareness #InnerCalm #EmotionalHealing #SelfConnection #Grounding,Moderate,Adult,"body awareness, inner calm, emotional healing, self connection, grounding",Suggestive and Visualization Hypnosis,653,5.68
Script_40.docx,Giving My Body a Voice – Reclaiming the Right to Be Heard,"A session designed to help individuals reconnect with their body, allowing it to speak and express what has been held within, fostering emotional release and self-connection.",#BodyAwareness #EmotionalRelease #InnerVoice #SelfConnection #Healing,Intense,Adult,"body awareness, emotional release, inner voice, self-connection, healing",Suggestive and Visualization Hypnosis,414,3.6
Script_41.docx,Let the Night Watch Over You – A Soothing Journey into Rest,"A session designed to help individuals release the day's tension and settle into a state of deep rest, using calming visualizations and self-compassionate affirmations.",#NightRest #EmotionalCalm #Relaxation #SleepPreparation #SelfCompassion,Moderate,Adult,"night rest, emotional calm, relaxation, sleep preparation, self compassion",Suggestive and Visualization Hypnosis,665,5.78
Script_42.docx,Freeing the Body from Hypervigilance,"A session designed to help individuals release hypervigilance held within the body, using grounding techniques, breathwork, and gentle dissociation to restore calm.",#Hypervigilance #BodyAwareness #Relaxation #Grounding #EmotionalRelease,Intense,Adult,"hypervigilance, body awareness, relaxation, grounding, emotional release",Somatic Hypnosis,1135,9.87
Script_43.docx,Soothing Loneliness and Finding an Inner Resting Space,"A session designed to soothe feelings of loneliness and reconnect with oneself by creating a calming, supportive inner space through body awareness and emotional grounding.",#Loneliness #InnerCalm #BodyAwareness #EmotionalRest #SelfCompassion,Intense,Adult,"loneliness, inner calm, body awareness, emotional rest, self-compassion",Somatic Hypnosis,1767,15.37
Script_44.docx,Let the Body Digest What the Mind Holds On To,"A session designed to help individuals release emotional tension held within the body, using gentle visualization and mindful breathing to foster inner calm.",#DigestEmotions #BodyAwareness #EmotionalRelease #InnerCalm #MindBodyConnection,Moderate,Adult,"digest emotions, body awareness, emotional release, inner calm, mind-body connection",Suggestive and Visualization Hypnosis,1089,9.47
Script_45.docx,"Soothing Difficult Evenings – Rest for the Body, Peace for the Belly","A session designed to release evening tensions, soothe the belly, and cultivate inner calm through gentle body awareness and calming visualizations.",#EveningRelaxation #CalmBelly #BodyAwareness #EmotionalRest #SleepPreparation,Moderate,Adult,"evening relaxation, calm belly, body awareness, emotional rest, sleep preparation",Somatic Hypnosis,971,8.44
Script_46.docx,Taming Sleep and Reconnecting with Inner Safety,"A session designed to guide individuals into a state of deep relaxation, using a symbolic staircase descent and breath awareness to release tension and foster inner calm.",#Sleep #InnerSafety #Relaxation #Grounding #Calmness,Moderate,Adult,"sleep, inner safety, relaxation, grounding, calmness",Suggestive and Visualization Hypnosis,1276,11.1
Script_47.docx,Trusting My Body Again,"A session designed to help individuals rebuild trust in their body, using grounding techniques, breathwork, and emotional reconnection to foster inner calm and resilience.",#BodyTrust #Healing #SelfReconnection #Breathwork #EmotionalCalm,Intense,Adult,"body trust, healing, self-reconnection, breathwork, emotional calm",Somatic Hypnosis,892,7.76
Script_48.docx,"When the World Cuts Me Off, I Remain Whole","A session designed to help individuals maintain their sense of self even in the face of emotional interruptions, using grounding techniques, visualization, and inner dialogue.",#EmotionalResilience #SelfConnection #InnerStrength #Boundaries #Calmness,Intense,Adult,"emotional resilience, self connection, inner strength, boundaries, calmness",Suggestive and Visualization Hypnosis,1061,9.23
